,song,artist,genre,actual_lyrics
122,Sign of the Times,Harry Styles,Rock,"[""Just stop your crying it's a sign of the times"", 'Welcome to the final show', ""I hope you're wearing your best clothes"", ""You can't bribe the door on your way to the sky"", 'You look pretty good down here', ""But you ain't really good"", ""If we never learn we've been here before"", 'Why are we always stuck and running from', 'The bullets the bullet', ""We never learn we've been here before"", 'Why are we always stuck and running from', 'Your bullets a bullet', ""Just stop your crying it's a sign of the times"", 'We gotta get away from here', 'We gotta get away from here', ""Just stop your crying it'll be alright"", 'They told me that the end is near', 'We gotta get away from here', 'Just stop your crying have the time of your life', 'Breaking through the atmosphere', 'Things look pretty good from here', 'Remember everything will be alright', 'We can meet again somewhere', 'Somewhere far away from here']"
123,Thick Of It,KSI (Ft. Trippie Redd),Rap,"['They know me where it snows I skied in and they froze', ""I don't know no nothin' 'bout no ice I'm just cold"", ""Forty somethin' milli' subs or so I've been told"", ""I'm in my prime"", ""but this ain't even final form"", 'They knocked me down but still my feet they find the floor', 'I went from living rooms straight out to soldout tours', ""Life's a fight but trust I'm ready for the war"", ""I'm in the thick of it everybody knows"", 'They know me where it snows I skied in and they froze', ""I don't know no nothin' 'bout no ice I'm just cold"", ""Forty somethin' milli' subs or so I'v been told"", 'From the screen to the ring to the pn to the king', ""Where's my crown That's my bling"", 'always drama when I ring', 'See I believe that if I see it in my heart', ""Smash through the ceiling 'cause I'm reaching for the stars""]"
124,All Too Well (10 Minute Version) (Taylor’s Version) [Live Acoustic],Taylor Swift,Country,"['I walked through the door with you the air was cold', ""But something 'bout it felt like home somehow"", ""And I left my scarf there at your sister's house"", ""And you've still got it in your drawer even now"", 'Oh your sweet disposition and my wideeyed gaze', ""We're singing in the car getting lost upstate"", 'And I can picture it after all these days', ""And I know it's long gone and"", ""That magic's not here no more"", ""And I might be okay but I'm not fine at all"", ""You almost ran the red 'cause you were lookin' over at me"", ""And your mother's telling stories 'bout you on the teeball team"", 'And you were tossing me the car keys Fuck the patriarchy', 'Key chain on the ground we were always skipping town', ""He's gonna say it's love you never called it what it was"", 'Til we were dead and gone and buried', ""Check the pulse and come back swearing it's the same"", 'After three months in the grave', 'And then you wondered where it went to as I reached for you', 'But all I felt was shame and you held my lifeless frame']"
125,Best Part,Daniel Caesar (Ft. H.E.R.),R&B,"[""You don't know babe"", ""You're the coffee that I need in the morning"", ""You're my sunshine in the rain when it's pouring"", ""You know that I see it I know you're a star"", ""Where you go I'll follow no matter how far"", ""If life is a movie know you're the best part ooh"", ""You're the best part ooh""]"
126,Empire State of Mind,JAY-Z (Ft. Alicia Keys),Rap,"[""Yeah I'm out that Brooklyn now I'm down in Tribeca"", 'Right next to De Niro', ""but I'll be hood forever"", ""I'm the new Sinatra and since I made it here"", 'I can make it anywhere yeah they love me everywhere', 'I used to cop in Harlem hola my Dominicanos Dmelo', 'Right there up on Broadway brought me back to that Mc', ""Donald's"", 'Took it to my stash spot 560 State Street', ""Catch me in the kitchen like a Simmons whippin' pastry"", ""Cruisin' down 8th Street offwhite Lexus"", ""Drivin' so slow but BK is from Texas"", ""Me I'm out that Bed"", 'Stuy home of that boy Biggie', 'Now I live on Billboard and I brought my boys with me', ""Say What up to Ty Ty still sippin' Mai Tais"", ""Sittin' courtside Knicks and Nets give me high fives"", 'Nigga I be spiked out Come on I could trip a referee Come on', 'definitely from', 'Chorus Alicia Keys  JAYZ', 'In New York Ayy uh yeah aha', 'Concrete jungle Yeah where dreams are made of', ""There's nothin' you can't do Yeah okay"", ""Now you're in New York Aha aha aha uh yeah"", 'These streets will make you feel brandnew New', 'Big lights will inspire you Come on okay', ""Let's hear it for New York"", 'You welcome OG uh', 'New York Yeah New York', 'Uh I made you hot nigga']"
127,My Shot,"Lin-Manuel Miranda, Anthony Ramos, Daveed Diggs, Okieriete Onaodowan, Leslie Odom Jr. & Original Broadway Cast of Hamilton",Rap,"['I am not throwing away my shot', 'I am not throwing away my shot', ""Hey yo I'm just like my country"", ""I'm young scrappy and hungry"", ""And I'm not throwing away my shot"", ""I'ma get a scholarship to King's College"", ""I prob'ly shouldn't brag but dag"", 'I amaze and astonish', 'The problem is I got a lot of brains but no polish', 'I gotta holler just to be heard', 'With every word I drop', 'knowledge', ""I'm a diamond in the rough a shiny piece of coal"", ""Tryin' to reach my goal"", 'my power of speech unimpeachable', 'These New York City streets get colder I shoulder', ""Ev'ry burden ev'ry disadvantage"", ""I have learned to manage I don't have a gun to brandish"", 'I walk these streets famished', 'The plan is to fan this spark into a flame', ""But damn it's getting dark so let me spell out the name"", 'I am the', 'HAMILTONLAFAYETTEMULLIGANLAURENSALEXANDERwe aremeant to be']"
128,All Me,Drake (Ft. 2 Chainz & Big Sean),Rap,"['Produced by Ke', 'Y Wane', ""I'm really stepping up my game"", 'These bitches gotta start paying me for this', ""Can't get no more free Randy"", ""J's on Yeah"", 'Pinky ring', ""In the same league but we don't ball the same"", ""You need that work I got that work got bitches in my condo 'Do"", 'From the A to Toronto', 'we let the metal go off', 'Givenchy nigga God bless you']"
129,GOOBA,6ix9ine,Rap,"[""I tell a nigga don't dick ride don't blick ride"", 'Leave it to the double thickthighstwin sisters', 'Slideslide in the', 'Bentley trucka the', 'Wraith trucka', 'Assalamalam alaykum you big hater', 'Now we catch him at the chicken spot up a couple chops', 'Day', 'Day made that nigga Diddy Bop chachachachacha', 'Niggas always wanna chase clout bitch I am clout', 'Are you dumb stupid or dumb huh', 'Play me like a dummy like bitch are you dumb', 'Are you dumb stupid or dumb huh', 'We can make him dance bachata', 'Slide over do the chacha', 'Dmelo mami', 'Fresca you nasty', 'They sick been hot way before coronavirus']"
130,Havana,Camila Cabello (Ft. Young Thug),Rap,"['Havana ooh nana Hey', 'Half of my heart is in Havana ooh nana Hey hey', 'He took me back to East Atlanta nanana ah', 'Oh but my heart is in Havana Hey', 'Havana ooh nana Uh', ""He didn't walk up with that how you doin' Uh"", 'When he came in the room', 'That summer night in June', 'And papa says he got malo in him Uh']"
131,Backseat Freestyle,Kendrick Lamar,Rap,"['Uh Martin had a dream', 'Martin had a dream', 'Kendrick have a dream', 'All my life I want money and power', 'Respect my mind or die from lead shower', ""Goddamn I feel amazin' damn I'm in the Matrix"", ""My mind is livin' on cloud nine and this 9 is never on vacation"", ""Start up that Maserati and vroom vroom I'm racin"", ""Poppin' pills in the lobby and I pray they don't find her naked"", 'And I pray you niggas is hatin', 'shooters go after Judas', ""Jesus Christ if I live life on my knees ain't no need to do this"", ""Park it in front of Lueders next to that Church's Chicken"", ""All you pussies is losers all my niggas is winnin' screamin"", 'All my life I want money and power', 'Respect my mind or die from lead shower']"
132,Lifestyle,"Rich Gang (Ft. Birdman, Rich Homie Quan & Young Thug)",Rap,"['London On Da Track bitch', 'Thugger Thugger in this muhfucker', 'Rich Gang', 'Got like four ounces in a twenty ounce bitch Ah', 'I done Hey did a lot of shit just to live this here lifestyle Oh yeah woo', 'We came straight from the bottom to the top my lifestyle Lifestyle ayy', ""Nigga livin' life like a beginner and this is only beginnin' Beginnin' lil' nigga woo"", ""I'm on the top of the mountain"", ""puffin' on clouds and niggas still beginnin' You still beginnin' lil' nigga"", 'Million five on the Visa card', ""Hundred bands stacked look like some fuckin' Titans Football player"", ""Nigga servin' great white like I'm feedin' sharks Sheesh"", ""I won't do nothin' with the bitch she can't even get me hard Woo"", ""Me and my woadie don't get caught up like that no way No way"", ""We ain't got time to go see doctors J hey Woo"", 'Who said money Money nigga', 'I do this shit for my daughters and all my sons bitch Woo']"
133,when the party’s over,Billie Eilish,R&B,"['Tore my shirt to stop you bleedin', ""Quiet when I'm coming home and I'm on my own"", 'I could lie say I like it like that like it like that', 'I could lie say I like it like that like it like that', 'Call me friend but keep me closer Call me back', ""And I'll call you when the party's over""]"
134,O Holy Night,Christmas Songs,Pop,"['O Holy night', 'The stars are brightly shining', 'O hear the Angel voices', 'Here come the Wise Men from Orient land', 'Truly He taught us to love one another', 'Chains shall He break for the slave is our brother', 'And in His name all oppression shall cease']"
135,Power Trip,J. Cole (Ft. Miguel),Rap,"['Got me up all night', ""All I'm singin' is love songs"", 'She got me up all night', ""Constant drinkin' and love songs"", 'She got me up all night', 'Downandout with these love songs', 'She got me up all night', ""Drownin' out with these love songs"", 'She got me up all night Yeah', ""All I'm singin' is love songs"", 'She got me up all night Yeah', ""Constant drinkin' and love songs"", 'She got me up all night Yeah', 'Downandout with these love songs', 'She got me open all night Uhhuh', 'Got me open all night hey', 'Okay back when I was sleeping in my mama crib', 'Or even back when I was up there in Mohammed crib', 'Paying seventeen hundred for the rent money well spent', 'No heater but a nigga made heat may I vent', 'Had a thing for ya even wrote the song Dreams for ya', 'Cause I had dreams for ya thoughts of a ring for ya', 'Childish shit you know child and shit', 'Anonymous flowers sent you know coward shit', 'Now a nigga signed to Hov took a power trip', ""Back home I'm grown now and the city's my throne now huh"", 'The same clubs that I used to get tossed out', ""Life got Kriss Kross'd totally crossed out"", ""Cause now I'm in this bitch and I'm totally bossed out"", 'Old chicks crying cause they know that they lost out', ""But I'm still on you I'm still on you"", ""My drink spill on me while I feel on you I'm sayin""]"
136,Dusk Till Dawn,ZAYN (Ft. Sia),R&B,"['Not tryna be indie', 'Not tryna be cool', 'Just tryna be in this', 'Tell me are you too', ""I'll be with you from dusk till dawn""]"
137,Fortnight,Taylor Swift (Ft. Post Malone),Electronic,"['I was supposed to be sent away', 'But they forgot to come and get me', ""I was a functioning alcoholic'Til nobody noticed my new aesthetic"", ""All of this to say I hope you're okay"", ""But you're the reason"", ""And no one here's to blame"", 'But what about your quiet treason', 'And for a fortnight there we were forever', 'Run into you sometimes ask about the weather', ""Now you're in my backyard turned into good neighbors"", 'Your wife waters flowers I wanna kill her', 'All my mornings are Mondays stuck in an endless February', 'I took the miracle moveon drug the effects were temporary', ""And I love you it's ruining my life"", ""I love you it's ruining my life"", 'And for a fortnight there we were forever', 'Your wife waters flowers I wanna kill her', 'And for a fortnight there we were together', 'My husband is cheating I wanna kill him']"
138,From Time,Drake (Ft. Jhené Aiko),Rap,"['Chorus Jhen Aiko', 'So what are you', 'What are you what are you so afraid of', 'Darling you', 'You give but you cannot take love', ""Yeah I needed to hear that shit I hate when you're submissive"", ""Passive aggressive when we're texting I feel the distance"", 'I look around the peers that surround me these niggas tripping', 'Started realizing a couple places I could take it', 'I want to get back to when I was that kid in the basement', 'I want to take it deeper than money pussy vacation', ""And influence a generation that's lacking in patience"", ""I've been dealing with my dad speaking of lack of patience"", 'Just me and my old man getting back to basics', ""We've been talking 'bout the future and time that we wasted"", ""When he put that bottle down girl that nigga's amazing"", 'Well fuck it we had a couple Coronas', 'We might have rolled a white paper just something to hold us', 'We even talked about you and our couple of moments', 'He said we should hash it out like a couple of grownups', ""You a flower child beautiful child I'm in your zone"", 'Looking like you came from the seventies on your own']"
139,Happier Than Ever,Billie Eilish,Rock,"['Wish I could explain it better', ""I wish it wasn't true"", 'I knew when I asked you to When I asked you to', ""Be cool about what I was tellin' you"", ""You'd do the opposite of what you said you'd do What you said you'd do"", ""And I'd end up more afraid"", ""Don't say it isn't fair"", ""You clearly wern't aware that you made me misrable"", ""I wish it wasn't true""]"
140,Running Up That Hill (A Deal with God),Kate Bush,Pop,"[""It doesn't hurt me Yeah yeah yo"", 'Do you wanna feel how it feels Yeah yeah yo', ""Do you wanna know know that it doesn't hurt me Yeah yeah yo"", ""Do you wanna hear about the deal that I'm makin' Yeah yeah yo"", 'And if I only could', ""I'd make a deal with God"", ""And I'd get him to swap our places"", ""Be runnin' up that road"", ""Be runnin' up that hill"", ""Be runnin' up that buildin'Say if I only could oh"", ""You don't wanna hurt me Yeah yeah yo"", 'But see how deep the bullet lies Yeah yeah yo', ""Unaware I'm tearin' you asunder Yeah yeah yo"", 'Oh there is thunder in our hearts Yeah yeah yo', 'Is there so much hate for the ones we love Yeah yeah yo', ""Oh tell me we both matter don't we Yeah yeah yo""]"
141,Love the Way You Lie,Eminem (Ft. Rihanna),Hip-Hop,"['Just gonna stand there and watch me burn', ""I can't tell you what it really is I can only tell you what it feels like"", ""And right now there's a steel knife in my windpipe"", ""I can't breathe but I still fight while I can fight"", 'High off her love drunk from her hate', ""I'm Superman with the wind at his back she's Lois Lane"", 'Just gonna stand there and watch me burn']"
142,A Million Dreams,"Ziv Zaifman, Hugh Jackman & Michelle Ingrid Williams",Pop,"['I close my eyes and I can see', ""A world that's waiting up for me"", 'That I call my own', 'Through the dark through the door', ""Through where no one's been before"", 'But it feels like home', 'They can say they can say it all sounds crazy', ""They can say they can say I've lost my mind"", ""I don't care I don't care so call me crazy"", ""There's a house we can build"", 'Every room inside is filled', 'With things from far away', 'Special things I compile', 'Each one there to make you smile', 'On a rainy day']"
143,Viva La Vida,Coldplay,Alternative Rock,"['I used to rule the world', 'Seas would rise when I gave the word', ""Now in the mornin' I sleep alone"", 'Sweep the streets I used to own', 'I used to roll the dice', ""Feel the fear in my enemy's eyes"", 'Listen as the crowd would sing', 'Now the old king is dead long live the king', 'One minute I held the key', 'Next the walls were closed on me', 'And I discovered that my castles stand', 'Upon pillars of salt and pillars of sand', ""I hear Jerusalem bells aringin'Roman cavalry choirs are singin"", 'Be my mirror my sword and shield', 'My missionaries in a foreign field', ""For some reason I can't explain"", ""Once you'd gone there was never"", 'Never an honest word', 'And that was when I ruled the world']"
144,As It Was,Harry Styles,Rock,"['Come on Harry we wanna say goodnight to you', ""Nothin' to say"", ""You know it's not the same as it was"", ""You know it's not the same as it was"", ""Harry you're no good alone"", 'Why are you sitting at home on the floor', 'What kind of pills are you on', ""Ringin' the bell"", ""And nobody's coming to help"", 'Your daddy lives by himself']"
145,Homicide,Logic (Ft. Eminem),Hip-Hop,"['Son you know why you the greatest alive', 'Why Dad', 'Because you came out of my balls nigga', 'Hahahahahaha', 'Fuck rap', ""Bustin' like an addict with a semiautomatic"", 'Who done had it and he ready for anybody to buck back', ""Hold up catch a vibe ain't no way in hell we leavin' nobody alive"", 'Leave a suicide note fuck that', ""Bobby feelin' villainous he killin' this"", ""I'm comin' for your man and his lady and even the baby"", ""I'm feelin' like I'm chikachikachika Slim Shady with rabies"", ""I'm foamin' at the mouth ain't nobody takin' me out"", ""And I'm tired of all of this high school He's cool he's not rap shit"", 'Can a single one of you motherfuckers even rap Shit', ""No this ain't a diss to the game this is gas to the flame"", ""Nowadays everybody sound the same shit's lame"", ""Like a moth to the flame I'ma reel 'em in and kill 'em"", ""Know you feelin' lyricism when I'm spillin' it I'm feelin' myself"", ""Yeah yeah Bobby Boy he be feelin' himself"", ""Mass murder like this can't be good for my health"", 'When I rap like this do I sound like shit', ""Well it don't really matter 'cause I'm killin' this shit"", ""Yeah I'm killin' this shit"", ""Oh yeah oh yeah I'm killin' this shit"", ""Bobby how many times you been killin' this shit"", 'Find another rhyme goddamn nigga shit']"
146,Revenge,XXXTENTACION,Rock,"['I think I I think I finally', 'Found a way to forgive myself', 'For the mistakes I made in my past', ""I think that's the first step right"", 'You agree', ""I've dug two graves for us my dear"", ""Can't pretend that I was perfect leavin' you in fear"", 'Some kill some steal some break your heart', ""And you'd have thought that I would let it go and let you walk"", 'Well broken hearts break bones so break up fast', ""And I don't wanna let it go so in my grave I'll rot"", ""I've dug two graves for us my dear"", ""Can't pretend that I was perfect leavin' you in fear"", 'Some kill some steal some break your heart', ""And you'd have thought that I would let it go and let you walk"", 'Well broken hearts break bones so break up fast', ""And I don't wanna let it go so in my grave I'll rot"", ""In my grave I'll rot"", ""In my grave I'll rot"", ""In my grave I'll rototot"", ""In my grave I'll rot"", ""In my grave I'll rototot"", ""In my grave I'll rot""]"
147,Congratulations,Post Malone (Ft. Quavo),Rap,"['Yeah Hey', 'My mama called seen you on TV son', 'Said shit done changed ever since we was on', 'I dreamed it all ever since I was young', ""They said I wouldn't be nothing"", 'Now they always say Congratulations Uh uh uh', 'Worked so hard forgot how to vacation Uhhuh', ""They ain't never had the dedication Uh uh"", ""People hatin' say we changed and look we made it Uh uh"", 'Yeah we made it Uh uh uh', ""I'm surround by twenty bad bitch yeah"", ""But they didn't know me last year yeah"", 'Everyone wanna act like they important', ""Everyone countin' on me drop the ball yeah Yeahyeahyeah yeahyeahyeah"", ""Everything custom like I'm at the border yeah yeah"", 'If you fuck with winning put your lighters to the sky', 'How could I make cents when I got millions on my mind', 'Coming with that bullshit I just put it to the side', 'Balling since a baby they could see it in my eyes']"
148,"Sing About Me, I’m Dying of Thirst",Kendrick Lamar,Hip-Hop,"['Chorus', ""When the lights shut off and it's my turn"", 'To settle down my main concern', 'Promise that you will sing about me', 'Promise that you will sing about me', ""I said when the lights shut off and it's my turn"", 'To settle down my main concern', 'Promise that you will sing about me', 'Promise that you will sing about me', ""I woke up this morning and figured I'd call you"", ""In case I'm not here tomorrow"", ""I'm hopin' that I can borrow"", ""A peace of mind I'm behind on what's really important"", 'My mind is really distorted', 'I find nothing but trouble in my life', ""I'm fortunate you believe in a dream"", 'This orphanage we call a ghetto is quite a routine', 'And last night was just another distraction', 'Or a reaction of what we consider madness', 'I know exactly what happened', 'You ran outside when you heard my brother cry for help', 'Held him like a newborn baby and made him feel', 'Like everything was alright in a fight he tried to put up', 'But the type of bullet that stuck', ""Had went against his will that's blood spilled on your hands"", ""My plan's rather vindictive"", ""Everybody's a victim in my eyes"", ""When I ride it's a murderous rhythm"", 'And outside became pitch black', ""A demon glued to my back whispering Get 'em"", 'The life that I knew as a youngin', 'In pajamas and duntaduns', 'When thunder comes it rains cats and dogs ', 'dumb', 'Niggas like me never prosper', ""Prognosis of a problem child I'm proud and welldevoted"", 'This Piru shit been in me forever', ""So forever I'ma push it wherever whenever"", 'And if I die before your album drop I hope', 'Gunshots']"
149,Only,"Nicki Minaj (Ft. Chris Brown, Drake & Lil Wayne)",Hip-Hop,"['Yo I never fucked Wayne I never fucked Drake', ""On my life man fuck's sake"", ""If I did I'd mnage with 'em"", ""And let 'em eat my ass like a cupcake"", 'My man full he just ate', ""I don't duck nobody but tape"", 'Yeah that was a setup', 'For a punchline on duct tape', ""Wowowoworried 'bout if my butt fake"", ""Woworried 'bout y'all niggas us straight"", 'Th', 'These girls are my sons', 'Jo', 'Jon  Kate Plus Eight', 'When I walk in sit up straight', ""I don't give a fuck if I was late"", 'Dinner with my man on a G5Is my idea of a update', 'Huthut one huthut two', 'Big titties big butt too', 'Had to show bitches where the top is', 'Ri', 'Ring finger where the rock is', 'The', ""These hoes couldn't test me"", 'Even if their name was Pop Quiz', 'Bad bitches who I fuck with', 'Ma', 'Ma', ""Mad bitches we don't fuck with"", ""I don't fuck with them chickens"", 'Unless they last name is Cutlet', 'Let it soak in', 'Like seasoning', 'And tell them bitches blow me', 'Lance Stephenson']"
150,Clique,"Big Sean, Kanye West & JAY-Z",Rap,"['What of the dollar you murdered for', 'Is that the one fighting for your soul', ""Or your brother's the one that you're running from"", 'But if you got money fuck it cause I want some', 'BIG', ""Okay ain't nobody fuckin' with my clique"", 'Clique clique clique clique', ""Ain't nobody fresher than my muhfuckin' clique"", 'Clique clique clique clique', ""As I look around they don't do it like my clique"", 'Clique clique clique clique', 'And all these bad bitches man they want the', 'They want the they want the', 'BIG oh God', 'I tell a bad bitch do whatever I say Yup', ""My block behind me like I'm coming out the driveway Swerve"", ""It's grind day from Friday to next Friday Woah"", 'I been up straight for nine days I need a spa day Spa day', 'Yup she try and gimme that poontang', 'I might let my crew bang my crew deeper than Wu', 'Tang Woah', ""I'm rollin' with ha fuck I'm saying Girl you know my crew name"", ""You know 2 Chainz Skrrt I'm pullin' up in that Bruce Wayne"", ""But I'm the fuckin' villain man they kneelin' when I'm walking in the buildin"", 'Young player from the D']"
151,The Motto,Drake (Ft. Lil Wayne),Rap,"[""I'm the fuckin' man y'all don't get it do ya"", 'Type of money everybody acting like they knew ya', 'Go Uptown New York City bitch', ""Them Spanish girls love me like I'm Aventura"", ""Tell Uncle Luke I'm out in Miami too"", ""Clubbin' hard fuckin' women there ain't much to do"", 'Wrist bling got a condo up on Biscayne', ""Still gettin' brain from a thang ain't shit changed"", ""Twentyfive sitting on twentyfive mil' uh"", ""I'm in the building and I'm feeling myself"", ""Rest in peace Mac Dre I'ma do it for the Bay okay"", ""Gettin' paid we'll holler whenever that stop"", 'Tell Tune light one pass it like a relay', 'YMCMB you niggas more YMCA', 'Me Franny and Mally Mall at the cribo', 'Shout goes out to Niko J and Chubbs shout to Gibbo', ""She know even if I'm fucking with her I don't really need her"", ""Cause the pimpin' ice cold all these bitches wanna chill"", ""I mean maybe she won't then again maybe she will""]"
152,I Like It,"Cardi B, Bad Bunny & J Balvin",Rap,"['I like million dollar deals', ""Where's my pen Bitch I'm signin' Signin"", 'I like those Balenciagas Those', 'The ones that look like socks', 'I like going to the jeweler', 'I put rocks all in my watch Chaching', 'They call me Cardi Bardi banging body', 'Hotter than a Somali', 'Big Dipper on top of the roof', 'Eating halal driving the Lam', 'Bout my coins like Mario Mario', 'Yeah they call me Cardi BI run this shit like cardio Woo facts']"
153,Same Love,Macklemore & Ryan Lewis (Ft. Mary Lambert),Rap,"[""When I was in the third grade I thought that I was gay'Cause I could draw"", 'my uncle was', 'and I kept my room straight', 'I told my mom tears rushing down my face', ""She's like Ben you've loved girls since before Pre"", ""KTrippin' yeah I guess she had a point didn't she"", 'A bunch of stereotypes all in my head', ""I remember doing the math like Yeah I'm good at little league"", 'A preconceived idea of what it all meant', 'For those that like the same sex had the characteristics', ""The rightwing conservatives think it's a decision"", 'And you can be cured with some treatment and religion', 'Manmade rewiring of a predisposition', 'Playing God', 'aw nah here we go', ""America the brave still fears what we don't know"", 'And God loves all his children is somehow forgotten', 'But we paraphrase a book written thirtyfive hundred years ago', ""I don't know"", 'Chorus Mary Lambert', ""And I can't change"", 'Even if I tried', 'Even if I wanted to', ""And I can't change"", 'Even if I tried', 'Even if I wanted to', 'My love my love my love', 'She keeps me warm', 'She keeps me warm', 'She keeps me warm', 'She keeps me warm']"
154,Fake Love,Drake,Rap,"[""I've been down so long it look like up to me"", 'They look up to me', ""I got fake people showin' fake love to me"", 'Straight up to my face straight up to my face', ""I've been down so long it look like up to me"", 'They look up to me', ""I got fake people showin' fake love to me"", 'Straight up to my face straight up to my face', 'Just when shit look out of reach', 'I reach back like one three', 'Like one three yeah', ""That's when they smile in my face"", 'Whole time they wanna take my place', 'Whole time they wanna take my place', 'Whole time they wanna take my place', 'Yeah I know they wanna take my place', 'I can tell that love is fake', ""I don't trust a word you say"", 'How you wanna clique up after your mistakes', ""Look you in the face and it's just not the same""]"
155,Pound Cake / Paris Morton Music 2,Drake (Ft. JAY-Z),Rap,"[""You know years ago they had the AR men to tell you what to play how to play it and you know whether it's disco and rock"", 'But uh we just went in the studio and we did it', 'Only real music is gonna last', 'All that other bullshit is here today and gone tomorrow', 'Cash rules everything around me frikkifrikkifrik', 'C.R.E.A.M. get theget theget theget the', 'Get theget theget theget the money dollardollar', ""Dddddollardollar dollardollar bill y'all Y'all y'all"", 'Cash rules everything around me C.R.E.A.MGet theget theget theget theget the', 'Get theget theget theget the monmonmoney', ""Frikkifrikkifrikki dollardollardollar bill y'all Y'all y'all"", 'Yeah', 'Uh after hours at Il Mulino', ""Or Sotto Sotto just talkin' women and vino"", ""The contract like '91 Dan Marino"", ""I swear this guy Michael Rapino's boosting my ego"", ""Overly focused it's far from the time to rest now"", 'Took a while got the jokers out of the deck now', ""I'm holdin' all the cards and niggas wanna play chess now"", ""I'm authentic real name no gimmicks"", 'My classmates they went on to be chartered accountants', 'Or work with their parents', ""But thinkin' back on how they treated me"", 'My high school reunion might be worth an appearance', 'Tables turn bridges burn you live and learn', 'With the ink I could murder word to my nigga Irv', ""You know it's real when you are who you think you are""]"
156,bad guy,Billie Eilish,Electronic,"['White shirt now red my bloody nose', 'Bruises on both my knees for you', ""So you're a tough guy"", 'Like it really rough guy', ""Just can't get enough guy"", 'Chest always so puffed guy', ""I'm that bad type"", 'Make your mama sad type', 'Might seduce your dad type', ""I'm the bad guy"", 'Chorus', ""I'm the bad guy""]"
157,Someone You Loved,Lewis Capaldi,Pop,['Now the day bleeds into nightfall']
158,Zombie,The Cranberries,Rock,"['Another head hangs lowly', 'Child is slowly taken', 'And the violence caused such silence', 'Who are we mistaken', ""But you see it's not me it's not my family"", 'With their tanks and their bombs and their bombs and their guns', 'In your head in your head', 'Zombie zombie zombieieie', ""What's in your head in your head"", 'Zombie zombie zombieieieie oh', ""Another mother's breakin'Heart is takin' over""]"
159,Baby,Justin Bieber (Ft. Ludacris),Rap,"['You are my love Yo you are my heart Uhhuh', 'And we will never ever ever be apart Yo uhhuh']"
160,ULTIMATE,Denzel Curry,Rap,"['Ronny J listen up', ""I am the one don't weigh a ton"", ""Don't need a gun to get respect up on the street Okay"", 'The yellow tape surrounds the fate', ""Don't have a face so now you late open the gates Goddamn"", 'Hey young boy had to penetrate Ooh', 'Face young boy done caught a case Ooh', ""Bang now his mama livin' with the pain Uh"", 'Ultimate alternate you are the opposite', 'Stop this shit chop your esophagus Esophagus', ""Bitches be boppin' it bow down and pop it in"", ""Droppin' it in her esophagus Esophagus"", 'She get so nasty in public she classy', 'Perhaps she is able to swallow it Uh', 'Girl I can make you a star Star ooh', 'Then I put her ass on Apollo bitch Damn', ""Rippin' through cartilage I am the hardest bitch"", 'Wrap it up put in sarcophagus Damn', ""Dearly departed it's done when it started"", ""So now that I'm livin' so harmonious Harmonious"", ""Feelin' like Spartacus Curry the ultimate"", ""I am the best there's no politics"", 'Bridge', ""Bitch I'm ultimate"", 'Ultimate', ""Bitch I'm"", ""I am the one don't weigh a ton"", ""Don't need a gun to get respect up on the street Okay"", 'The yellow tape surrounds the fate', ""Don't have a face so now you late open the gates Damn"", 'Ultimate infinite flow is opium', 'Open the internet photosynthesis', 'Put in parentheses temporary', 'Very scary if I feel like Dirty Harry', 'Just might bust a bitch ', 'never knew my life', 'But yet the question is Is he fake Is he real', 'What the message is ', ""these niggas ain't homies"", 'Claim you the homie I turn into Broly', ""Droppin' melodic enter the cosmic"", 'Flow like a prophet lyrical toxic', 'Out of South Florida ', ""Nigga you tell me who fuckin' with me"", 'K to the I to the N to the GClaim you the hottest but I disagree', 'Better learn something and get a degree', ""Arrivederci bitches lookin' thirsty""]"
161,Reminder,The Weeknd,R&B,"['Record man play my song on the radio', 'You too busy tryna find that blueeyed soul', 'I let my black hair grow and my weed smoke', 'And I swear too much on the regular', ""We gon' let them hits fly we gon' let it go"", ""If it ain't XO then it gotta go"", 'I just won a new award for a kids show', ""Talkin' 'bout a face numbin' off a bag of blow"", ""I'm like goddamn bitch I am not a Teen Choice"", 'Goddamn bitch I am not a bleach boy', 'Whip game make a nigga understand though', 'Got that Hannibal Silence of the Lambo', 'Hit the gas so hard make it rotate', 'All my niggas blew up like a propane', 'All these RB niggas be so lame', 'Got a sweet Asian chick she go lo mein Ohohoh', 'You know me Know me uh nanananana', 'You know me Know me know me ohohoh', 'You know me Know me know me nanananana', 'Every time you try to forget who I am', ""I'll be right there to remind you again"", 'You know me Pow pow', 'You know me Know me']"
162,212,Azealia Banks (Ft. Lazy Jay),Hip-Hop,"['And when I hit that dip', 'Kick it with your bitch who come from Parisian', 'She know where I get mine from and the season', 'I was in the 212On the uptown ANigga you know whats up', 'Or dont you', 'I could bust your 8Ima do one too', 'Fuck him like you do want to cum', 'Nigga youre a koolaid dude']"
